省份,公共充电桩保有量（台）,Unnamed: 2,Unnamed: 3,Unnamed: 4,source_file,sheet_name,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,year
北京,41644.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
天津,11209.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
河北,11957.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
山西,6500.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
内蒙古,1224.0,,,数据来源：中国充电联盟,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
辽宁,4280.0,,,中国电动汽车充电基础设施促进联盟（EVCIPA）（简称“中国充电联盟”）是应国办〔2015〕73号文要求、国家能源局作为指导单位，由行业协会、科研院所、电网企业、充电运营服务商、汽车制造商、充电设施制造商等发起成立的非盈利性社团组织。,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
吉林,733.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
黑龙江,1883.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
上海,39303.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
江苏,30333.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
浙江,14226.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
安徽,10228.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
福建,7942.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
江西,2943.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
山东,20798.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
河南,8131.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
湖北,9722.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
湖南,5184.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
广东,35928.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
广西,1771.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
海南,1403.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
重庆,8538.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
四川,8169.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
贵州,1779.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
云南,1987.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
西藏,17.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
陕西,8705.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
甘肃,2327.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
青海,445.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
宁夏,233.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
新疆,207.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
香港,3.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,2018
北京,59060.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2019各省份公共充电桩保有量   .xlsx,工作表1,,,,,,,,,2019
天津,16687.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2019各省份公共充电桩保有量   .xlsx,工作表1,,,,,,,,,2019
河北,22307.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2019各省份公共充电桩保有量   .xlsx,工作表1,,,,,,,,,2019
山西,12027.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2019各省份公共充电桩保有量   .xlsx,工作表1,,,,,,,,,2019
内蒙古,2525.0,,,数据来源：中国充电联盟,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2019各省份公共充电桩保有量   .xlsx,工作表1,,,,,,,,,2019
辽宁,6044.0,,,中国电动汽车充电基础设施促进联盟（EVCIPA）（简称“中国充电联盟”）是应国办〔2015〕73号文要求、国家能源局作为指导单位，由行业协会、科研院所、电网企业、充电运营服务商、汽车制造商、充电设施制造商等发起成立的非盈利性社团组织。,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2019各省份公共充电桩保有量   .xlsx,工作表1,,,,,,,,,2019
吉林,1763.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2019各省份公共充电桩保有量   .xlsx,工作表1,,,,,,,,,2019
黑龙江,2666.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2019各省份公共充电桩保有量   .xlsx,工作表1,,,,,,,,,2019
上海,55113.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2019各省份公共充电桩保有量   .xlsx,工作表1,,,,,,,,,2019
江苏,60509.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2019各省份公共充电桩保有量   .xlsx,工作表1,,,,,,,,,2019
浙江,29138.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2019各省份公共充电桩保有量   .xlsx,工作表1,,,,,,,,,2019
安徽,25754.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2019各省份公共充电桩保有量   .xlsx,工作表1,,,,,,,,,2019
