省份,公共充电桩保有量（台）,Unnamed: 2,Unnamed: 3,Unnamed: 4,source_file,sheet_name,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,province,year,sub_fix,sub_ope
北京,41644.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,,2018.0,,
天津,11209.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,,2018.0,,
河北,11957.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,,2018.0,,
山西,6500.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,,2018.0,,
内蒙古,1224.0,,,数据来源：中国充电联盟,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,,2018.0,,
辽宁,4280.0,,,中国电动汽车充电基础设施促进联盟（EVCIPA）（简称“中国充电联盟”）是应国办〔2015〕73号文要求、国家能源局作为指导单位，由行业协会、科研院所、电网企业、充电运营服务商、汽车制造商、充电设施制造商等发起成立的非盈利性社团组织。,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,,2018.0,,
吉林,733.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,,2018.0,,
黑龙江,1883.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,,2018.0,,
上海,39303.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,,2018.0,,
江苏,30333.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,,2018.0,,
浙江,14226.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,,2018.0,,
安徽,10228.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,,2018.0,,
福建,7942.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,,2018.0,,
江西,2943.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,,2018.0,,
山东,20798.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,,2018.0,,
河南,8131.0,,,,C:/Users/Lenovo/Desktop/Dissertaion/China Data/Charging\2018各省份公共充电桩保有量    .xlsx,工作表1,,,,,,,,,,2018.0,,
