charging_subsidy,purchase_subsidy,ev_adoption,charging_piles,delta_ev,delta_charging,delta_ev_percent,delta_charging_percent,gov_spending_millions,delta_spending_millions,ev_per_million,piles_per_million
0.0,0.0,49956108,6832716,-0.3073057755827904,-0.49589312728494406,-6.151515520232163e-07,-7.257627732440028e-06,0.0,0.0,0.0,0.0
0.0,0.5,50506066,6876040,549957.6926942244,43323.504106872715,1.100881776681144,0.6340597349957772,48599.36008192606,48599.36008192606,11.3161509074839,0.8914418633052039
0.0,1.0,51132744,6925128,1176635.6926942244,92411.50410687272,2.355338981683945,1.3524855621101444,110150.7725254193,110150.7725254193,10.68204666855781,0.8389546617618779
0.0,1.5,51847560,6980765,1891451.6926942244,148048.50410687272,3.7862270636834436,2.1667590656784714,187339.87959474232,187339.87959474232,10.09636440882664,0.7902668904620546
0.0,2.0,52663794,7043843,2707685.6926942244,211126.50410687272,5.420129358431714,3.0899350826830356,283380.73145082075,283380.73145082075,9.554939317263104,0.7450277336287864
0.0,2.5,53596913,7115382,3640804.6926942244,282665.5041068727,7.288007044699635,4.136941789942136,402123.1772421012,402123.1772421012,9.053953859770314,0.7029326338399338
0.0,3.0,54664965,7196538,4708856.692694224,363821.5041068727,9.425987836617736,5.3246977878498445,548183.5188138888,548183.5188138888,8.589927517125714,0.663685593638564
0.0,3.5,55889046,7288631,5932937.692694224,455914.5041068727,11.876300804293374,6.6725218934651345,727103.5892998609,727103.5892998609,8.159686982713344,0.6270282677958993
0.0,4.0,57293854,7393155,7337745.692694224,560438.5041068727,14.688385347305214,8.202279495186577,945544.4375633312,945544.4375633312,7.760339335931795,0.5927151404445075
0.0,4.5,58908338,7511811,8952229.692694224,679094.5041068727,17.920190335132684,9.938865523178801,1211521.9247011833,1211521.9247011833,7.389242827695631,0.5605300987634776
1.5,0.0,50901857,9305134,-0.17603501677513123,-0.07483849301934242,-3.458322083737445e-07,-8.042709800572258e-07,953701.8015983469,0.0,0.0,0.0
1.5,0.5,51579398,9376439,677540.8239649832,71304.92516150698,1.3310728950848076,0.7662965905490685,1018814.8560739349,65113.05447558801,10.405606516570417,1.0950941517916413
1.5,1.0,52351720,9457175,1449862.8239649832,152040.92516150698,2.848349558152447,1.6339466356818284,1100442.9306634592,146741.1290651123,9.880412078072855,1.0361166370339365
1.5,1.5,53233022,9548614,2331164.823964983,243479.92516150698,4.579724499841065,2.6166192040143494,1201991.6085578285,248289.80695948144,9.38888652946356,0.9806279530485946
1.5,2.0,54239839,9652202,3337981.823964983,347067.925161507,6.557681800137797,3.7298541038757786,1327543.35965228,373841.5580539331,8.92886773033249,0.9283824060872239
1.5,2.5,55391468,9769582,4489610.823964983,464447.925161507,8.820131667177609,4.991308254411888,1481996.9356974384,528295.1340990915,8.498300541081406,0.8791448097539948
1.5,3.0,56710465,9902622,5808607.823964983,597487.925161507,11.411386825979545,6.42105659473668,1671236.9654039307,717535.1638055837,8.095223923463111,0.8326949748255076
1.5,3.5,58223246,10053439,7321388.823964983,748304.925161507,14.383343221928548,8.041850006062328,1902340.238981409,948638.437383062,7.717786393056086,0.788819950439495
1.5,4.0,59960788,10224436,9058930.823964983,919301.925161507,17.79685718074349,9.879512941649507,2183826.303389041,1230124.5017906944,7.364238994327714,0.747324294267188
1.5,4.5,61959452,10418327,11057594.823964983,1113192.925161507,21.723362245358278,11.963212095692757,2525961.1283030515,1572259.3267047044,7.032933203926719,0.7080211936122816
3.0,0.0,51950770,12683771,-0.21190468221902847,-0.12361815758049488,-4.0789516951275123e-07,-9.7461674746171e-07,2599970.140003744,0.0,0.0,0.0
3.0,0.5,52773598,12799245,822827.7880953178,115473.87638184242,1.5838606140756777,0.9104064970615969,2692896.86554457,92926.72554082617,8.854587130952106,1.2426336525880324
3.0,1.0,53712735,12929996,1761964.7880953178,246224.87638184242,3.3916047460092478,1.9412592200071535,2807741.449411178,207771.30940743408,8.480308436811894,1.1850764048418345
3.0,1.5,54785894,13078082,2835123.788095318,394310.8763818424,5.457327728792056,3.1087826525630478,2948940.279972863,348970.13996911864,8.124258964810588,1.1299272666043465
3.0,2.0,56013765,13245840,4062994.788095318,562068.8763818424,7.820855728457072,4.431401914334664,3121811.355058467,521841.2150547227,7.7858832742240445,1.0770879343497262
3.0,2.5,57420546,13435924,5469775.788095318,752152.8763818424,10.528767457699601,5.930041381630388,3332736.2821424166,732766.1421386724,7.464558572713352,1.0264569186924868
3.0,3.0,59034583,13651342,7083812.788095318,967570.8763818424,13.6356261114143,7.628416398811794,3589380.9849702953,989410.8449665513,7.159627190396117,0.9779262894723504
3.0,3.5,60889097,13895498,8938326.788095318,1211726.8763818424,17.20537876846929,9.553364410096567,3900962.6835451955,1300992.5435414512,6.870390481842551,0.9313864882602498
3.0,4.0,63023030,14172233,11072259.788095318,1488461.8763818424,21.31298485649415,11.73516820727088,4278571.629069126,1678601.489065382,6.596121747908238,0.8867273656540087
3.0,4.5,65482015,14485871,13531244.788095318,1802099.8763818424,26.046283304178214,14.207918597854496,4735556.997687288,2135586.857683544,6.336077944763419,0.8438429323996531
