year,type,province,brand,model,fuel_type,mass,power,sales,weighted_Avg_Price,market_size,market_share,nesting_ids,is_electric,shares,nest_total_sales,nest_shares,within_nest_shares,EV_total_sales,EV_share,province_id,brand_id,model_id,product_id,market_id,charging_stations_stock,charging_stations_stock_lag,range,batter_weight,battery_capacity,sum_rival_mass,sum_rival_power,euclidean_mass,euclidean_power,local_mass,local_power,steel_price_index,cost_shifter,sum_rival_range,sum_rival_battery,euclidean_range,euclidean_battery,local_range,local_battery
2019,国产新能源乘用车,上海市,东风风行,景逸S50,BEV,2036.0,90.0,1,7.49,9542307.692307692,1.047964530431278e-07,1,1,1.047964530431278e-07,29894,0.003132785167271262,3.345152873486319e-05,29894,0.003132785167271262,P01,B01,M01,B01M01,P01Y2019,55113,39303,170.0,120.0,13.92,310574.7309543268,17015.292250393668,1.2143526e+07,318953.94,132,108,108.219,220333.884,45379.55230880231,68892.22531818182,7.5271365e+06,1.0957525e+08,81,103
2019,国产新能源乘用车,上海市,云度,云度π1,BEV,1785.0,90.0,1,7.73,9542307.692307692,1.047964530431278e-07,1,1,1.047964530431278e-07,29894,0.003132785167271262,3.345152873486319e-05,29894,0.003132785167271262,P01,B03,M01,B03M01,P01Y2019,55113,39303,251.0,320.0,39.0,310825.7309543268,17015.292250393668,2.137718e+07,318953.94,113,108,108.219,193170.91499999998,45298.55230880231,68867.14531818182,4.922249e+06,1.0630474e+08,76,103
2019,国产新能源乘用车,上海市,云度,云度π3,BEV,1845.0,90.0,75,13.23,9542307.692307692,7.859733978234584e-06,1,1,7.859733978234584e-06,29894,0.003132785167271262,0.002508864655114739,29894,0.003132785167271262,P01,B03,M02,B03M02,P01Y2019,55113,39303,315.0,331.0,47.0,310765.7309543268,17015.292250393668,1.7405092e+07,318953.94,121,108,108.219,199664.055,45234.55230880231,68859.14531818182,4.1632672e+06,1.0529855e+08,69,103
2019,国产新能源乘用车,上海市,吉利,嘉际,PHEV,2371.0,60.0,406,13.13,9542307.692307692,4.254735993550988e-05,1,1,4.254735993550988e-05,29894,0.003132785167271262,0.01358132066635445,29894,0.003132785167271262,P01,B06,M02,B06M02,P01Y2019,55113,39303,62.5,1477.0,1846.0,310239.7309543268,17045.292250393668,3.0051468e+07,652271.5,85,63,108.219,256587.24899999998,45487.05230880231,67060.14531818182,1.3821165e+07,3.341452e+08,38,37
2019,国产新能源乘用车,上海市,吉利,帝豪,BEV,1970.0,120.0,6,9.985,9542307.692307692,6.287787182587667e-07,1,1,6.287787182587667e-07,29894,0.003132785167271262,0.0002007091724091791,29894,0.003132785167271262,P01,B06,M03,B06M03,P01Y2019,55113,39303,61.0,1498.0,1538.0,310640.7309543268,16985.292250393668,1.2691158e+07,262836.38,132,108,108.219,213191.43,45488.55230880231,67368.14531818182,1.393188e+07,2.3067333e+08,38,37
2019,国产新能源乘用车,上海市,吉利,帝豪GL,PHEV,2025.0,60.0,21,10.03,9542307.692307692,2.200725513905683e-06,1,1,2.200725513905683e-06,29894,0.003132785167271262,0.0007024821034321268,29894,0.003132785167271262,P01,B06,M04,B06M04,P01Y2019,55113,39303,66.0,1477.0,1650.0,310585.7309543268,17045.292250393668,1.2141628e+07,652271.5,132,63,108.219,219143.47499999998,45483.55230880231,67256.14531818182,1.3565284e+07,2.652262e+08,38,37
2019,国产新能源乘用车,上海市,吉利,帝豪GSe,BEV,2010.0,120.1282051282051,78,13.49,9542307.692307692,8.174123337363966e-06,1,1,8.174123337363966e-06,29894,0.003132785167271262,0.002609219241319328,29894,0.003132785167271262,P01,B06,M05,B06M05,P01Y2019,55113,39303,378.9090909090909,362.5454545454546,53.37272727272727,310600.7309543268,16985.16404526546,1.21991e+07,263191.4,134,108,108.219,217520.19,45170.64321789322,68852.7725909091,4.5498e+06,1.0450987e+08,101,103
2019,国产新能源乘用车,上海市,吉利,星越,PHEV,2185.0,60.0,54,16.58,9542307.692307692,5.6590084643289e-06,1,1,5.6590084643289e-06,29894,0.003132785167271262,0.001806382551682612,29894,0.003132785167271262,P01,B06,M06,B06M06,P01Y2019,55113,39303,59.0,1477.0,1676.0,310425.7309543268,17045.292250393668,1.5840596e+07,652271.5,117,63,108.219,236458.51499999998,45490.55230880231,67230.14531818182,1.4080477e+07,2.737497e+08,38,37
2019,国产新能源乘用车,上海市,吉利,缤越,PHEV,1923.0,60.0,77,9.780000000000001,9542307.692307692,8.069326884320839e-06,1,1,8.069326884320839e-06,29894,0.003132785167271262,0.002575767712584465,29894,0.003132785167271262,P01,B06,M07,B06M07,P01Y2019,55113,39303,62.0,1477.0,1548.0,310687.7309543268,17045.292250393668,1.3899032e+07,652271.5,130,63,108.219,208105.137,45487.55230880231,67358.14531818182,1.3857999e+07,2.336156e+08,38,37
2019,国产新能源乘用车,上海市,奥迪,奥迪A6L,PHEV,2477.0,140.0,242,54.235,9542307.692307692,2.536074163643692e-05,1,1,2.536074163643692e-05,29894,0.003132785167271262,0.00809526995383689,29894,0.003132785167271262,P01,B08,M01,B08M01,P01Y2019,55113,39303,54.0,1984.0,2150.0,310133.7309543268,16965.292250393668,4.2916744e+07,379424.72,49,91,108.219,268058.463,45495.55230880231,66756.14531818182,1.4456873e+07,4.6232006e+08,38,32
2019,国产新能源乘用车,上海市,奥迪,奥迪Q2L,BEV,2090.0,100.0,2,24.57999999999999,9542307.692307692,2.095929060862556e-07,1,1,2.095929060862556e-07,29894,0.003132785167271262,6.690305746972637e-05,29894,0.003132785167271262,P01,B08,M02,B08M02,P01Y2019,55113,39303,300.3333333333333,315.0,41.7,310520.7309543268,17005.292250393668,1.2693384e+07,269448.1,125,119,108.219,226177.71,45249.218975468975,68864.44531818182,4.2359025e+06,1.0596315e+08,68,103
2019,国产新能源乘用车,上海市,宝马,宝马5系,PHEV,2495.0,71.56626506024097,2573,49.95,9542307.692307692,0.0002696412736799678,1,1,0.0002696412736799678,29894,0.003132785167271262,0.08607078343480297,29894,0.003132785167271262,P01,B09,M01,B09M01,P01Y2019,55113,39303,87.66666666666667,1998.0,2004.833333333333,310115.7309543268,17033.725985333425,4.5445136e+07,490929.3,42,80,108.219,270006.40499999997,45461.88564213565,66901.3119848485,1.2057594e+07,3.9788576e+08,41,37
2019,国产新能源乘用车,上海市,宝马,宝马X1,PHEV,2340.0,76.81274900398407,1004,31.94,9542307.692307692,0.0001052156388553003,1,1,0.0001052156388553003,29894,0.003132785167271262,0.03358533484980264,29894,0.003132785167271262,P01,B09,M02,B09M02,P01Y2019,55113,39303,533.3333333333334,390.0,66.0,310270.7309543268,17028.479501389684,2.6943016e+07,431328.03,96,87,108.219,253232.46,45016.218975468975,68840.14531818182,1.0204018e+07,1.029807e+08,58,103
2019,国产新能源乘用车,上海市,宝骏,宝骏E100,BEV,980.0,29.0,2,5.230000000000001,9542307.692307692,2.095929060862556e-07,1,1,2.095929060862556e-07,29894,0.003132785167271262,6.690305746972637e-05,29894,0.003132785167271262,P01,B10,M01,B10M01,P01Y2019,55113,39303,255.0,179.5,23.95,311630.7309543268,17076.292250393668,1.819034e+08,1.2879136e+06,1,21,108.219,106054.62,45294.55230880231,68882.19531818182,4.841213e+06,1.0824618e+08,76,103
2019,国产新能源乘用车,上海市,小鹏,小鹏G3,BEV,2036.859205776173,145.0,1108,18.54,9542307.692307692,0.0001161144699717856,1,1,0.0001161144699717856,29894,0.003132785167271262,0.03706429383822841,29894,0.003132785167271262,P01,B11,M01,B11M01,P01Y2019,55113,39303,315.0,331.0,47.0,310573.8717485506,16960.292250393668,1.2145244e+07,427821.78,131,85,108.219,220426.86638989166,45234.55230880231,68859.14531818182,4.1632672e+06,1.0529855e+08,69,103
2019,国产新能源乘用车,上海市,日产,轩逸,BEV,1940.0,80.0,187,13.735,9542307.692307692,1.959693671906489e-05,1,1,1.959693671906489e-05,29894,0.003132785167271262,0.006255435873419415,29894,0.003132785167271262,P01,B12,M01,B12M01,P01Y2019,55113,39303,338.0,296.5,38.0,310670.7309543268,17025.292250393668,1.3383602e+07,399259.78,131,96,108.219,209944.86,45211.55230880231,68868.14531818182,4.1706475e+06,1.0643177e+08,70,103
2019,国产新能源乘用车,上海市,欧拉,欧拉iQ,BEV,1855.0,120.0,26,13.255,9542307.692307692,2.724707779121322e-06,1,1,2.724707779121322e-06,29894,0.003132785167271262,0.0008697397471064428,29894,0.003132785167271262,P01,B13,M01,B13M01,P01Y2019,55113,39303,398.5,337.625,50.0,310755.7309543268,16985.292250393668,1.6850878e+07,262836.38,124,108,108.219,200746.245,45151.05230880231,68856.14531818182,4.8973065e+06,1.0492586e+08,101,103
2019,国产新能源乘用车,上海市,江淮,江淮iEV6E,BEV,1695.480769230769,50.96153846153846,52,6.75,9542307.692307692,5.449415558242644e-06,1,1,5.449415558242644e-06,29894,0.003132785167271262,0.001739479494212886,29894,0.003132785167271262,P01,B14,M01,B14M01,P01Y2019,55113,39303,285.75,254.5833333333333,34.41666666666666,310915.25018509605,17054.33071193213,2.9364756e+07,807032.6,95,52,108.219,183483.2333653846,45263.80230880231,68871.72865151515,4.3678445e+06,1.0688926e+08,67,103
2019,国产新能源乘用车,上海市,沃尔沃,沃尔沃XC60,PHEV,2660.0,243.0576923076923,208,42.63999999999999,9542307.692307692,2.179766223297058e-05,1,1,2.179766223297058e-05,29894,0.003132785167271262,0.006957917976851542,29894,0.003132785167271262,P01,B15,M02,B15M02,P01Y2019,55113,39303,533.3333333333334,390.0,66.0,309950.7309543268,16862.234558085976,7.327215e+07,2.9332252e+06,23,3,108.219,287862.54,45016.218975468975,68840.14531818182,1.0204018e+07,1.029807e+08,58,103
2019,国产新能源乘用车,上海市,祺智,祺智EV,BEV,2080.0,132.0,21,13.48,9542307.692307692,2.200725513905683e-06,1,1,2.200725513905683e-06,29894,0.003132785167271262,0.0007024821034321268,29894,0.003132785167271262,P01,B16,M01,B16M01,P01Y2019,55113,39303,410.0,353.0,55.0,310530.7309543268,16973.292250393668,1.2523798e+07,318005.38,128,102,108.219,225095.52,45139.55230880231,68851.14531818182,5.1513515e+06,1.0431029e+08,101,103
2019,国产新能源乘用车,上海市,福特,蒙迪欧,PHEV,2233.0,93.65,200,18.43,9542307.692307692,2.095929060862555e-05,1,1,2.095929060862555e-05,29894,0.003132785167271262,0.006690305746972637,29894,0.003132785167271262,P01,B17,M01,B17M01,P01Y2019,55113,39303,52.0,1999.0,1836.0,310377.7309543268,17011.642250393666,1.848782e+07,297314.94,110,109,108.219,241653.02699999997,45497.55230880231,67070.14531818182,1.4609392e+07,3.3036854e+08,38,37
2019,国产新能源乘用车,上海市,福特,领界,BEV,2135.0,120.0,3,13.73,9542307.692307692,3.143893591293833e-07,1,1,3.143893591293833e-07,29894,0.003132785167271262,0.0001003545862045895,29894,0.003132785167271262,P01,B17,M02,B17M02,P01Y2019,55113,39303,397.5,365.0,54.5,310475.7309543268,16985.292250393668,1.3837668e+07,262836.38,125,108,108.219,231047.56499999997,45152.05230880231,68851.64531818182,4.876966e+06,1.0437153e+08,101,103
2019,国产新能源乘用车,上海市,红旗,红旗E-HS3,BEV,2270.0,114.0,4,24.58,9542307.692307692,4.191858121725111e-07,1,1,4.191858121725111e-07,29894,0.003132785167271262,0.0001338061149394527,29894,0.003132785167271262,P01,B18,M01,B18M01,P01Y2019,55113,39303,407.0,374.0,54.0,310340.7309543268,16991.292250393668,2.101272e+07,251883.9,106,113,108.219,245657.12999999998,45142.55230880231,68852.14531818182,5.081509e+06,1.0443285e+08,101,103
2019,国产新能源乘用车,上海市,腾势,腾势,BEV,2480.0,135.0,2,31.38,9542307.692307692,2.095929060862556e-07,1,1,2.095929060862556e-07,29894,0.003132785167271262,6.690305746972637e-05,29894,0.003132785167271262,P01,B19,M01,B19M01,P01Y2019,55113,39303,403.0,382.0,54.0,310130.7309543268,16970.292250393668,4.3331212e+07,338727.62,47,97,108.219,268383.12,45146.55230880231,68852.14531818182,4.992306e+06,1.0443285e+08,101,103
2019,国产新能源乘用车,上海市,荣威,荣威Ei5,BEV,1975.767568619817,85.24605801051197,5137,14.68,9542307.692307692,0.0005383393792825474,1,1,0.0005383393792825474,29894,0.003132785167271262,0.1718405031109922,29894,0.003132785167271262,P01,B20,M01,B20M01,P01Y2019,55113,39303,422.1428571428572,375.7142857142857,52.18571428571429,310634.963385707,17020.046192383157,1.2589804e+07,353290.2,132,102,108.219,213815.59050846795,45127.409451659456,68853.9596038961,5.459791e+06,1.0465592e+08,102,103
2019,国产新能源乘用车,上海市,荣威,荣威RX5 eMAX,PHEV,2311.0,90.0,57,17.98,9542307.692307692,5.973397823458283e-06,1,1,5.973397823458283e-06,29894,0.003132785167271262,0.001906737137887201,29894,0.003132785167271262,P01,B20,M02,B20M02,P01Y2019,55113,39303,52.0,1490.0,1771.0,310299.7309543268,17015.292250393668,2.4303076e+07,318953.94,102,108,108.219,250094.109,45497.55230880231,67135.14531818182,1.4609392e+07,3.0650262e+08,38,37
2019,国产新能源乘用车,上海市,蔚来,蔚来ES6,BEV,2803.68932038835,69.47141316073355,1854,44.6,9542307.692307692,0.0001942926239419589,1,1,0.0001942926239419589,29894,0.003132785167271262,0.06201913427443634,29894,0.003132785167271262,P01,B21,M01,B21M01,P01Y2019,55113,39303,475.0,523.5714285714286,73.66666666666667,309807.04163393844,17035.820837232935,1.0433584e+08,517095.56,15,80,108.219,303412.4545631068,45074.55230880231,68832.47865151515,7.28341e+06,1.0207406e+08,96,103
2019,国产新能源乘用车,上海市,蔚来,蔚来ES8,BEV,3099.0,24.91411501120239,1339,57.59999999999999,9542307.692307692,0.0001403224506247481,1,1,0.0001403224506247481,29894,0.003132785167271262,0.04479159697598181,29894,0.003132785167271262,P01,B21,M02,B21M02,P01Y2019,55113,39303,432.1428571428572,520.7142857142857,78.66666666666667,309511.7309543268,17080.378135382467,1.8814288e+08,1.39377e+06,3,18,108.219,335370.681,45117.409451659456,68827.47865151515,5.7448005e+06,1.0149162e+08,99,103
2019,国产新能源乘用车,上海市,起亚,起亚K3,PHEV,1980.0,44.5,8,12.685,9542307.692307692,8.383716243450222e-07,1,1,8.383716243450222e-07,29894,0.003132785167271262,0.0002676122298789055,29894,0.003132785167271262,P01,B22,M01,B22M01,P01Y2019,55113,39303,315.0,331.0,47.0,310630.7309543268,17060.792250393668,1.2521944e+07,933094.0,132,42,108.219,214273.62,45234.55230880231,68859.14531818182,4.1632672e+06,1.0529855e+08,69,103
2019,国产新能源乘用车,上海市,起亚,起亚K5,PHEV,2200.0,50.6046511627907,215,18.48,9542307.692307692,2.253123740427247e-05,1,1,2.253123740427247e-05,29894,0.003132785167271262,0.007192078677995584,29894,0.003132785167271262,P01,B22,M02,B22M02,P01Y2019,55113,39303,81.0,1999.0,1776.0,310410.7309543268,17054.687599230878,1.6591622e+07,813659.75,116,51,108.219,238081.8,45468.55230880231,67130.14531818182,1.2507497e+07,3.0829645e+08,41,37
2019,国产新能源乘用车,上海市,长安,逸动,PHEV,1975.0,80.0,6,8.840000000000002,9542307.692307692,6.287787182587667e-07,1,1,6.287787182587667e-07,29894,0.003132785167271262,0.0002007091724091791,29894,0.003132785167271262,P01,B23,M01,B23M01,P01Y2019,55113,39303,405.0,350.4,52.56,310635.7309543268,17025.292250393668,1.2602702e+07,399259.78,132,96,108.219,213732.525,45144.55230880231,68853.58531818182,5.036348e+06,1.0460981e+08,101,103
2019,国产新能源乘用车,上海市,长安,逸动,BEV,2025.0,100.0,13,8.840000000000002,9542307.692307692,1.362353889560661e-06,1,1,1.362353889560661e-06,29894,0.003132785167271262,0.0004348698735532214,29894,0.003132785167271262,P01,B23,M01,B23M01,P01Y2019,55113,39303,405.0,350.4,52.56,310585.7309543268,17005.292250393668,1.2141628e+07,269448.1,132,119,108.219,219143.47499999998,45144.55230880231,68853.58531818182,5.036348e+06,1.0460981e+08,101,103
2019,国产新能源乘用车,上海市,长安,长安CS75,PHEV,2445.0,22.93478260869565,46,11.14,9542307.692307692,4.820636839983877e-06,1,1,4.820636839983877e-06,29894,0.003132785167271262,0.001538770321803706,29894,0.003132785167271262,P01,B23,M02,B23M02,P01Y2019,55113,39303,310.0,1061.0,1204.354,310165.7309543268,17082.357467784972,3.8668216e+07,1.446899e+06,58,18,108.219,264595.45499999996,45239.55230880231,67701.79131818181,4.1812622e+06,1.4855728e+08,68,34
2019,国产新能源乘用车,上海市,领克,领克01,PHEV,2206.630565583634,71.69675090252707,831,18.635,9542307.692307692,8.708585247883918e-05,1,1,8.708585247883918e-05,29894,0.003132785167271262,0.0277982203786713,29894,0.003132785167271262,P01,B24,M01,B24M01,P01Y2019,55113,39303,70.0,1480.0,1890.0,310404.10038874316,17033.59549949114,1.6945696e+07,489344.06,116,80,108.219,238799.35317689527,45479.55230880231,67016.14531818182,1.3277048e+07,3.5109526e+08,39,37
