scenario_type,subsidy_level,delta_ev,delta_piles,gov_spending,ev_efficiency,piles_efficiency
purchase_only,0.0,0.0,0.0,0.0,0.0,0.0
purchase_only,0.15,78006.1435488984,6159.247323960997,6556.963674785016,11.896686853531484,0.9393444327969288
purchase_only,0.3,157545.67058538646,12434.72650672216,13361.149536475821,11.79132604984984,0.9306629248310907
purchase_only,0.44999999999999996,238650.3827674687,18828.675816730596,20419.74494864452,11.6872362200249,0.9220818312904766
purchase_only,0.6,321352.7929145247,25343.37764670234,27740.132364740937,11.584400127916469,0.9135997375021545
purchase_only,0.75,405686.14232381433,31981.159391612746,35329.89469033946,11.482800780460417,0.905215248217471
purchase_only,0.8999999999999999,491684.41853866726,38744.39434317965,43196.82080157021,11.382421423957998,0.8969269873159574
purchase_only,1.05,579382.3735807016,45635.50260110665,51348.911224581,11.283245540430235,0.8887335975151249
purchase_only,1.2,668815.5426583067,52656.95200125873,59794.38398102862,11.185256844029139,0.8806337400844462
purchase_only,1.3499999999999999,760020.2633641288,59811.259061059915,68541.68060475602,11.08843927750718,0.8726260945651467
purchase_only,1.5,853033.6953764185,67100.98994241562,77599.47233498465,10.992777008766335,0.8647093584960379
purchase_only,1.65,947893.8406665549,74528.76143156271,86976.6664914399,10.898254427350869,0.8568822471357616
purchase_only,1.7999999999999998,1044639.5642532334,82097.24193810951,96682.41303722179,10.804856141220402,0.8491434932070103
purchase_only,1.95,1143310.6154825017,89809.15251082275,106726.1113350511,10.71256697335523,0.8414918466286098
purchase_only,2.1,1243947.6498733982,97667.26787227858,117117.41710304448,10.621371958527094,0.8339260742605611
purchase_only,2.25,1346592.2515340224,105674.41747188475,127866.249576159,10.53125634010226,0.8264449596524963
purchase_only,2.4,1451286.9561645165,113833.48655751068,138982.79887970007,10.4422055668969,0.8190473027963843
purchase_only,2.55,1558075.274662599,122147.41726599354,150477.53362147158,10.354205290086426,0.8117319198841811
purchase_only,2.6999999999999997,1667001.7173473164,130619.20973267406,162361.20870934782,10.267241360166963,0.8044976430700455
purchase_only,2.85,1778111.8188171312,139251.9232201362,174644.8734012504,10.181299823968383,0.7973433202370727
charging_only,0.0,0.0,0.0,0.0,0.0,0.0
charging_only,0.02,12327.477200217545,28180.21423518192,9375.827008192942,1.3148149160010463,3.0056243796474713
charging_only,0.04,24657.509843617678,56476.6956032468,18828.99169554257,1.3095502001551633,2.999454060868095
charging_only,0.06,36990.30149500072,84889.93819523323,28359.97274570337,1.304313718023755,2.993301120435468
charging_only,0.08,49326.05700010806,113420.43837439828,37969.25155557052,1.299105328107827,2.9871655017587044
charging_only,0.1,61664.982363536954,142068.69478122238,47657.31225083969,1.2939248868876456,2.9810471483044916
charging_only,0.12,74007.28463036567,170835.20833854098,57424.641701608976,1.288772248940163,2.9749460036030904
charging_only,0.14,86353.17177198082,199720.48225682322,67271.72953802417,1.2836472670614363,2.968862011254441
charging_only,0.16,98702.85257587582,228725.022039596,77199.06816596913,1.2785497923844886,2.962795114934075
charging_only,0.18,111056.53653986007,257849.33548906166,87207.15278280278,1.273479674499365,2.9567452583993714
charging_only,0.2,123414.43377052993,287093.93271187786,97296.48139314457,1.2684367615705536,2.9507123854954354
charging_only,0.22,135776.75488626957,316459.32612511236,107467.55482470972,1.2634209004544206,2.9446964401608375
charging_only,0.24,148143.71092469245,345946.0304624634,117720.87674419797,1.2584319368144181,2.938697366433892
charging_only,0.26,160515.5132548958,375554.56278064754,128056.95367323603,1.253469715236898,2.9327151084583285
charging_only,0.28,172892.37349440902,405285.4424660308,138476.2950043773,1.248534079345088,2.9267496104890705
charging_only,0.3,185274.5034309253,435139.19124156795,148979.4130171618,1.243624871911547,2.9208008168983843
charging_only,0.32,197662.11494658142,465116.33317375835,159566.8228942343,1.2387419349547233,2.9148686721803787
charging_only,0.34,210055.41995972395,495217.394680812,170239.04273754626,1.2338851099131338,2.908953120961081
charging_only,0.36,222454.63034643978,525442.9045393039,180996.593584589,1.2290542376559994,2.9030541079975487
charging_only,0.38,234859.95789265633,555793.3938929569,191839.99942473535,1.2242491586578585,2.8971715781880594
