province,year,charging_stations_stock,EV_stock,road_length,yearly_gas_price_avg,shift_share_IV,road_fuel_IV,num_models_in_market,sales_weighted_avg_range,sub_fix,sub_ope,time_trend
Shanghai,2019,55113.0,304602,13106.0,7023.074285714286,31261243772.0,92044411.58857144,123.0,329.51851951168453,0.0,0.0,1
Shanghai,2020,85538.0,425193,13045.0,5803.269444444445,45840364810.0,75703649.90277779,149.0,298.6209434428199,0.0,0.0,2
Shanghai,2021,103249.0,665472,12917.0,7802.940277777777,58004447267.0,100790579.56805554,186.0,306.336069639057,0.0,0.0,3
Shanghai,2022,122235.0,998341,13082.0,9194.876388888888,93913506388.0,120287372.91944444,196.0,334.6665599088182,400.0,0.0,4
Shanghai,2023,147708.0,1171415,13005.0,9157.885714285714,158662716660.0,119098303.71428572,212.0,414.2431285754671,400.0,0.0,5
Yunnan,2019,3702.0,48833,252929.0,7023.074285714286,651626041280.0,1776339156.0114286,124.0,300.9139713548157,0.0,0.0,1
Yunnan,2020,6004.0,61625,262409.0,5803.269444444445,989226036883.0,1522830131.6472225,162.0,271.7338984517437,0.0,0.0,2
Yunnan,2021,13600.0,109097,292479.0,7802.940277777777,1419727871001.0,2282196169.5041666,186.0,273.37679251555585,0.0,0.0,3
Yunnan,2022,32146.0,213452,300890.0,9194.876388888888,2327447036010.0,2766646356.6527777,202.0,246.916904326728,200.0,0.0,4
Yunnan,2023,39505.0,254622,316091.0,9157.885714285714,4104448272911.0,2894725253.3142858,228.0,272.7790989419936,200.0,0.0,5
Inner Mongolia,2019,2525.0,17753,202641.0,7023.074285714286,526743191631.0,1423162796.3314283,122.0,257.247585095296,0.0,0.0,1
Inner Mongolia,2020,3490.0,21684,206089.0,5803.269444444445,783316879163.0,1195989996.5361114,146.0,250.52289715921532,0.0,0.0,2
Inner Mongolia,2021,4500.0,33046,210217.0,7802.940277777777,1028814611020.0,1640310696.373611,181.0,243.541008746502,0.0,0.0,3
Inner Mongolia,2022,7696.0,64120,212603.0,9194.876388888888,1660697309780.0,1954858304.9069445,186.0,214.7397523380564,0.0,0.0,4
Inner Mongolia,2023,11823.0,95498,216176.0,9157.885714285714,2839331894128.0,1979715102.1714284,221.0,227.655945257589,0.0,0.0,5
Beijing,2019,59060.0,335034,22256.0,7023.074285714286,52844112256.0,156305541.30285716,126.0,278.6668622874198,0.0,0.0,1
Beijing,2020,87634.0,418321,22366.0,5803.269444444445,77913884476.0,129795924.39444448,158.0,269.55524430480006,0.0,0.0,2
Beijing,2021,96840.0,535807,22264.0,7802.940277777777,100130625672.0,173724662.34444442,185.0,272.0589109671895,0.0,0.0,3
Beijing,2022,110145.0,712049,22320.0,9194.876388888888,163125697680.0,205229641.0,187.0,279.7647809153492,0.0,0.2,4
Beijing,2023,119248.0,811054,22363.0,9157.885714285714,279233899912.0,204797798.2285714,215.0,303.12144553523126,0.0,0.2,5
Jilin,2019,1763.0,17167,105399.0,7023.074285714286,273972685014.0,740225006.64,117.0,260.9555140899969,0.0,0.0,1
Jilin,2020,3768.0,19691,106860.0,5803.269444444445,406223267580.0,620137372.8333334,141.0,248.2681229735696,0.0,0.0,2
Jilin,2021,3811.0,33442,107848.0,7802.940277777777,528029523944.0,841531503.0777776,174.0,240.1794021283072,0.0,0.0,3
Jilin,2022,6810.0,72990,108691.0,9194.876388888888,848970619024.0,999400309.5847222,184.0,259.6365889468429,0.0,0.0,4
Jilin,2023,8436.0,138655,109761.0,9157.885714285714,1440666139563.0,1005178693.8857144,203.0,310.78835958390823,0.0,0.0,5
Sichuan,2019,14150.0,106088,331592.0,7023.074285714286,845254203768.0,2328795248.548572,127.0,273.88484950417484,0.0,0.0,1
Sichuan,2020,23872.0,148937,337095.0,5803.269444444445,1251475974540.0,1956253113.375,161.0,274.2832089620463,0.0,0.0,2
Sichuan,2021,38312.0,286128,394371.0,7802.940277777777,1879890443397.0,3077253360.2874994,194.0,272.3514032931248,0.0,0.0,3
Sichuan,2022,61416.0,544957,398899.0,9194.876388888888,3014949646022.0,3667826996.6513886,203.0,268.5542019222678,0.0,0.0,4
Sichuan,2023,83175.0,684639,405390.0,9157.885714285714,5129608851240.0,3712515289.714286,234.0,286.22578574510726,0.0,0.0,5
Tianjin,2019,16687.0,163899,16257.0,7023.074285714286,40423339383.0,114174118.66285716,126.0,240.259053536688,0.0,0.0,1
Tianjin,2020,27846.0,202017,16132.0,5803.269444444445,58957959172.0,93618342.67777778,160.0,247.6782074957176,0.0,0.0,2
Tianjin,2021,33383.0,277960,16411.0,7802.940277777777,77356973797.0,128054052.8986111,190.0,247.6151175657816,0.0,0.0,3
Tianjin,2022,46565.0,374669,15307.0,9194.876388888888,115818058222.0,140745972.8847222,190.0,249.9679003415288,0.0,0.0,4
Tianjin,2023,61116.0,441346,15230.0,9157.885714285714,195306534920.0,139474599.42857143,224.0,279.143407531337,0.0,0.0,5
Ningxia,2019,363.0,4914,35405.0,7023.074285714286,92351074695.0,248651945.08571428,111.0,259.8832950688538,0.0,0.0,1
Ningxia,2020,1510.0,5871,36576.0,5803.269444444445,139490110656.0,212260383.2,132.0,257.5343034413445,0.0,0.0,2
Ningxia,2021,2190.0,10339,36901.0,7802.940277777777,181179223573.0,287936299.19027776,161.0,249.01516188203504,0.0,0.0,3
Ningxia,2022,3329.0,24328,37577.0,9194.876388888888,294376977959.0,345515870.06527776,172.0,211.42396026870665,0.0,0.0,4
Ningxia,2023,3919.0,35672,38347.0,9157.885714285714,505188938315.0,351177443.48571426,201.0,230.44834130661047,0.0,0.0,5
Anhui,2019,25754.0,124084,208826.0,7023.074285714286,528587053632.0,1466600510.7885714,125.0,279.51927608415053,0.0,0.0,1
Anhui,2020,38959.0,142144,218295.0,5803.269444444445,806498736120.0,1266824703.3750002,158.0,273.5063244499931,0.0,0.0,2
Anhui,2021,58307.0,216811,236483.0,7802.940277777777,1128875248800.0,1845262725.709722,195.0,270.2757375772858,0.0,0.0,3
Anhui,2022,84129.0,410229,237411.0,9194.876388888888,1810851215445.0,2182964798.3625,202.0,254.0784079809785,0.0,0.0,4
Anhui,2023,101043.0,502458,237967.0,9157.885714285714,3043180059948.0,2179274589.7714286,229.0,292.3035126665825,0.0,0.0,5
Shandong,2019,32130.0,313961,275642.0,7023.074285714286,654811551854.0,1935854242.2628567,132.0,264.7321160847295,0.0,0.0,1
Shandong,2020,48890.0,373420,280325.0,5803.269444444445,982443534175.0,1626801507.013889,163.0,258.92609786589776,0.0,0.0,2
Shandong,2021,60251.0,558453,286814.0,7802.940277777777,1302802115736.0,2237992512.8305554,197.0,258.9654645855826,0.0,0.0,3
Shandong,2022,89965.0,906464,288143.0,9194.876388888888,2099367540979.0,2649439267.323611,200.0,252.3931953031453,0.0,0.0,4
Shandong,2023,112458.0,1092629,291759.0,9157.885714285714,3586304253831.0,2671895578.114285,237.0,279.0771209022741,0.0,0.0,5
Shanxi,2019,12027.0,87788,143326.0,7023.074285714286,365434432398.0,1006589145.0742856,125.0,258.00610853762976,0.0,0.0,1
Shanxi,2020,19455.0,117984,144283.0,5803.269444444445,538295633456.0,837313125.2527778,159.0,244.60873504676573,0.0,0.0,2
Shanxi,2021,25474.0,172630,144323.0,7802.940277777777,692427116480.0,1126143749.709722,190.0,244.1226774895408,0.0,0.0,3
Shanxi,2022,33593.0,265323,144617.0,9194.876388888888,1109454768092.0,1329735438.7319443,199.0,225.46325321409617,0.0,0.0,4
Shanxi,2023,39735.0,313475,145469.0,9157.885714285714,1881372397350.0,1332188476.9714286,228.0,242.65989872330388,0.0,0.0,5
Guangdong,2019,62834.0,665176,217699.0,7023.074285714286,476421199560.0,1528916248.9257145,132.0,249.372795606498,0.0,0.0,1
Guangdong,2020,85874.0,831302,220290.0,5803.269444444445,694672178760.0,1278402225.9166667,164.0,247.9765039267401,0.0,0.0,2
Guangdong,2021,181846.0,1246182,221873.0,7802.940277777777,906227399866.0,1731261768.2513888,197.0,259.92604098445287,0.0,0.0,3
Guangdong,2022,382960.0,1998110,222987.0,9194.876388888888,1471295876388.0,2050337901.3291664,203.0,254.00216529141227,0.0,0.0,4
Guangdong,2023,502968.0,2338897,223081.0,9157.885714285714,2498588178403.0,2042950303.028572,234.0,281.7294520442291,0.0,0.0,5
Guangxi,2019,3596.0,105644,125449.0,7023.074285714286,320412427125.0,881037646.0685714,127.0,275.4788494002969,0.0,0.0,1
Guangxi,2020,7580.0,156971,127819.0,5803.269444444445,474588879344.0,741768097.1194445,159.0,274.2586376638375,0.0,0.0,2
Guangxi,2021,14026.0,258250,131642.0,7802.940277777777,626454395266.0,1027194664.047222,189.0,272.10005373069447,0.0,0.0,3
Guangxi,2022,33246.0,436217,160637.0,9194.876388888888,1218601277672.0,1477037358.4819443,195.0,261.7172650944251,0.0,0.14,4
Guangxi,2023,46109.0,512730,172391.0,9157.885714285714,2200098074096.0,1578737076.1714284,223.0,292.8712870975722,0.0,0.14,5
Xinjiang,2019,913.0,9055,189050.0,7023.074285714286,492924621850.0,1327712193.714286,118.0,274.62533610851625,0.0,0.0,1
Xinjiang,2020,1897.0,11878,194222.0,5803.269444444445,739901333430.0,1127122598.038889,140.0,263.12339186791763,0.0,0.0,2
Xinjiang,2021,3206.0,22468,217326.0,7802.940277777777,1065737582316.0,1695781798.8083332,172.0,254.4466704336285,0.0,0.0,3
Xinjiang,2022,4802.0,46217,217326.0,9194.876388888888,1699888765188.0,1998285706.0916665,174.0,214.2834673964392,0.0,0.0,4
Xinjiang,2023,8285.0,76474,223118.0,9157.885714285714,2934505054208.0,2043289144.8,210.0,212.80275473595967,0.0,0.0,5
Jiangsu,2019,60509.0,154500,158729.0,7023.074285714286,398680264216.0,1114765558.297143,132.0,279.6906710039205,0.0,0.0,1
Jiangsu,2020,77053.0,227522,159937.0,5803.269444444445,586028360440.0,928157505.1361113,163.0,277.33499648511395,0.0,0.0,2
Jiangsu,2021,97265.0,478148,158101.0,7802.940277777777,741212586422.0,1233652660.8569443,195.0,277.447664777583,0.0,0.0,3
Jiangsu,2022,129677.0,979869,158036.0,9194.876388888888,1164118145688.0,1453121484.9944444,205.0,285.73332627412884,0.0,0.1,4
Jiangsu,2023,167928.0,1251656,158000.0,9157.885714285714,1930539432000.0,1446945942.857143,237.0,320.50561220371776,0.0,0.1,5
Jiangxi,2019,6744.0,94940,161941.0,7023.074285714286,411474915254.0,1137323672.902857,126.0,272.80269491015656,0.0,0.0,1
Jiangxi,2020,11343.0,105073,209131.0,5803.269444444445,778736922080.0,1213643542.1861112,160.0,272.34164293123297,0.0,0.0,2
Jiangxi,2021,15547.0,145056,210641.0,7802.940277777777,1013324550111.0,1643619143.0513887,190.0,268.5318719077218,0.0,0.0,3
Jiangxi,2022,26739.0,235562,211101.0,9194.876388888888,1625319374250.0,1941047600.5708327,197.0,259.2736038374886,0.0,0.0,4
Jiangxi,2023,39735.0,280695,210711.0,9157.885714285714,2731427939721.0,1929667256.7428567,223.0,280.83429233155977,0.0,0.0,5
Hebei,2019,22307.0,119727,193252.0,7023.074285714286,490234716528.0,1357223151.862857,128.0,269.2767029605548,0.0,0.0,1
Hebei,2020,31804.0,152721,196983.0,5803.269444444445,728619039819.0,1143145424.975,161.0,257.1298988961632,0.0,0.0,2
Hebei,2021,38491.0,254689,204737.0,7802.940277777777,975167039951.0,1597550583.6513886,193.0,247.67716434034304,0.0,0.0,3
Hebei,2022,48950.0,437217,207170.0,9194.876388888888,1572340953890.0,1904902541.486111,200.0,232.8227593855687,0.0,0.0,4
Hebei,2023,59915.0,553871,209209.0,9157.885714285714,2669769606504.0,1915912112.4,226.0,263.2284052345988,0.0,0.0,5
Henan,2019,15968.0,199302,268589.0,7023.074285714286,663018392636.0,1886320499.3257143,131.0,264.3000306784936,0.0,0.0,1
Henan,2020,32816.0,287191,269832.0,5803.269444444445,976607814576.0,1565907800.7333336,162.0,260.35408258471193,385.0,0.55,2
Henan,2021,43556.0,521806,270271.0,7802.940277777777,1250963647863.0,2108908471.8152776,195.0,259.43046081650306,385.0,0.55,3
Henan,2022,68016.0,836891,271570.0,9194.876388888888,1988571325000.0,2497052580.930556,202.0,245.9633193413161,385.0,0.55,4
Henan,2023,89856.0,998208,277482.0,9157.885714285714,3430116496524.0,2541148443.7714286,231.0,262.44099161027384,385.0,0.55,5
Zhejiang,2019,29138.0,312694,120662.0,7023.074285714286,289239121524.0,847418189.4628571,131.0,265.0184865170671,0.0,0.0,1
Zhejiang,2020,61542.0,396444,121813.0,5803.269444444445,427067363838.0,706913660.8361112,164.0,266.27619665920577,0.0,0.0,2
Zhejiang,2021,82041.0,711382,123080.0,7802.940277777777,556235444000.0,960385889.3888888,196.0,270.4035733417851,0.0,0.0,3
Zhejiang,2022,125918.0,1339482,123885.0,9194.876388888888,883662289740.0,1139107261.4375,204.0,289.1532423237592,0.0,0.0,4
Zhejiang,2023,166734.0,1654472,122918.0,9157.885714285714,1457683455738.0,1125668996.2285714,230.0,327.5109936391822,0.0,0.0,5
Hainan,2019,3354.0,28213,35023.0,7023.074285714286,90993256300.0,245969130.70857143,117.0,246.24432645892028,0.0,0.0,1
Hainan,2020,5813.0,59059,38107.0,5803.269444444445,144441039549.0,221145188.71944445,147.0,263.416480299722,0.0,0.0,2
Hainan,2021,14042.0,119515,40163.0,7802.940277777777,195059039655.0,313389490.37638885,186.0,299.8443004347893,0.0,0.0,3
Hainan,2022,27596.0,186127,41046.0,9194.876388888888,317071771386.0,377412896.25833327,188.0,292.87422536565344,0.0,0.0,4
Hainan,2023,36249.0,221606,41687.0,9157.885714285714,542445667702.0,381764781.7714286,216.0,306.2012296784692,0.0,0.0,5
Hubei,2019,17592.0,111737,275039.0,7023.074285714286,698844394788.0,1931619328.468572,126.0,254.87107773663604,0.0,0.0,1
Hubei,2020,33408.0,133590,289029.0,5803.269444444445,1071396686607.0,1677313164.2583334,163.0,258.1718739524153,0.0,0.0,2
Hubei,2021,58627.0,210223,289612.0,7802.940277777777,1384969184248.0,2259825139.727777,192.0,261.33472239627406,0.0,0.0,3
Hubei,2022,101163.0,395896,296922.0,9194.876388888888,2266727192526.0,2730161087.1416664,201.0,254.8184486194469,0.0,0.0,4
Hubei,2023,123909.0,486100,302178.0,9157.885714285714,3868657112706.0,2767311589.3714285,228.0,280.9222351570052,0.0,0.0,5
Hunan,2019,10498.0,107074,240060.0,7023.074285714286,608122392600.0,1685959213.0285714,125.0,269.4357763680826,0.0,0.0,1
